Date,Country,Import Volumn
2019 Feb,Nepal(Thousand Dollars),94
2019 Feb,Nauru(Thousand Dollars),13
2019 Feb,Myanmar(Thousand Dollars),32586
2019 Feb,Micronesia(Thousand Dollars),0
2019 Feb,Mexico(Thousand Dollars),245656
2019 Feb,Malta(Thousand Dollars),21070
2019 Feb,"Maldives, Republic Of(Thousand Dollars)",54
2019 Feb,Malaysia(Thousand Dollars),3825742
2019 Feb,Mainland China(Thousand Dollars),4036953
2019 Feb,Macau(Thousand Dollars),1487
2019 Feb,Luxembourg(Thousand Dollars),3729
2019 Feb,Lithuania(Thousand Dollars),10488
2019 Feb,Liechtenstein(Thousand Dollars),2158
2019 Feb,Lebanon(Thousand Dollars),177
2019 Feb,Latvia(Thousand Dollars),2154
2019 Feb,Laos People's Democratic Republic(Thousand Dollars),286
2019 Feb,Kuwait(Thousand Dollars),165154
2019 Feb,Kiribati(Thousand Dollars),4
2019 Feb,Jordan(Thousand Dollars),2730
2019 Feb,Japan(Thousand Dollars),2111029
2019 Feb,Jamaica(Thousand Dollars),20
2019 Feb,Italy(Thousand Dollars),356456
2019 Feb,Israel(Thousand Dollars),55319
2019 Feb,Ireland(Thousand Dollars),67519
2019 Feb,Iran (Islamic Republic Of)(Thousand Dollars),377
2019 Feb,Indonesia(Thousand Dollars),1704454
2019 Feb,India(Thousand Dollars),670158
2019 Feb,Hungary(Thousand Dollars),26536
2019 Feb,Hong Kong(Thousand Dollars),196772
2019 Feb,Honduras(Thousand Dollars),561
2019 Feb,Guatemala(Thousand Dollars),1411
2019 Feb,Guam(Thousand Dollars),26
2019 Feb,Grenada(Thousand Dollars),0
2019 Feb,Greece(Thousand Dollars),8408
2019 Feb,"Germany, Federal Republic Of(Thousand Dollars)",1042773
2019 Feb,"Germany, Democratic Republic Of(Thousand Dollars)",0
2019 Feb,French Southern Territories(Thousand Dollars),114
2019 Feb,French Polynesia(Thousand Dollars),167
2019 Feb,French Guiana(Thousand Dollars),48
2019 Feb,France(Thousand Dollars),1152218
2019 Feb,Finland(Thousand Dollars),37061
2019 Feb,Fiji(Thousand Dollars),54
2019 Feb,European Union(Million Dollars),3657
2019 Feb,Europe(Million Dollars),6730.3
2019 Feb,Estonia(Thousand Dollars),4418
2019 Feb,Ecuador(Thousand Dollars),2456
2019 Feb,Denmark(Thousand Dollars),47721
2019 Feb,Democratic People's Republic Of Korea(Thousand Dollars),0
2019 Feb,Czech Republic(Thousand Dollars),41966
2019 Feb,Cyprus(Thousand Dollars),17726
2019 Feb,Cook Islands(Thousand Dollars),1
2019 Feb,Commonwealth Of Independent States(Thousand Dollars),806722
2019 Feb,Colombia(Thousand Dollars),62075
2019 Feb,Cocos (Keeling) Islands(Thousand Dollars),2
2019 Feb,Chile(Thousand Dollars),9215
2019 Feb,Canada(Thousand Dollars),179112
2019 Feb,Cambodia(Thousand Dollars),14094
2019 Feb,Brunei Darussalam(Thousand Dollars),9447
2019 Feb,Brazil(Thousand Dollars),125943
2019 Feb,Bermuda(Thousand Dollars),1
2019 Feb,Belgium(Thousand Dollars),104332
2019 Feb,Bangladesh(Thousand Dollars),26531
2019 Feb,Bahrain(Thousand Dollars),54351
2019 Feb,Bahamas(Thousand Dollars),6682
2019 Feb,Austria(Thousand Dollars),79753
2019 Feb,Australia(Thousand Dollars),716802
2019 Feb,Asia(Million Dollars),22762.9
2019 Feb,Argentina(Thousand Dollars),8530
2019 Feb,Anguilla(Thousand Dollars),0
2019 Feb,America(Million Dollars),5381.1
2019 Feb,Africa(Million Dollars),413
2019 Feb,Afghanistan(Thousand Dollars),20
2019 Jan,Yemen(Thousand Dollars),405
2019 Jan,Yemen Democratic(Thousand Dollars),0
2019 Jan,Wallis & Fatuna Islands(Thousand Dollars),870
2019 Jan,"Vietnam, Socialist Republic Of(Thousand Dollars)",420415
2019 Jan,Venezuela(Thousand Dollars),80444
2019 Jan,Uruguay(Thousand Dollars),2042
2019 Jan,United States(Thousand Dollars),4791359
2019 Jan,United Kingdom(Thousand Dollars),1095488
2019 Jan,United Arab Emirates(Thousand Dollars),1308821
2019 Jan,Tuvalu(Thousand Dollars),0
2019 Jan,Trinidad & Tobago(Thousand Dollars),7
2019 Jan,Total Merchandise Imports(Thousand Dollars),41553606
2019 Jan,Thailand(Thousand Dollars),766608
2019 Jan,Taiwan(Thousand Dollars),3611998
2019 Jan,Syrian Arab Republic(Thousand Dollars),1
2019 Jan,Switzerland(Thousand Dollars),769617
2019 Jan,Sweden(Thousand Dollars),159314
2019 Jan,St Vincent & The Grenadines(Thousand Dollars),6
2019 Jan,Sri Lanka(Thousand Dollars),10061
2019 Jan,Spain(Thousand Dollars),104136
2019 Jan,South Sudan(Thousand Dollars),0
2019 Jan,Solomon Islands(Thousand Dollars),0
2019 Jan,Slovenia(Thousand Dollars),7206
2019 Jan,Slovak Republic (Slovakia)(Thousand Dollars),10457
2019 Jan,Saudi Arabia(Thousand Dollars),1351355
2019 Jan,Republic Of Korea(Thousand Dollars),1596669
2019 Jan,Qatar(Thousand Dollars),743658
2019 Jan,Puerto Rico(Thousand Dollars),9031
2019 Jan,Portugal(Thousand Dollars),48023
2019 Jan,Poland(Thousand Dollars),34881
2019 Jan,Philippines(Thousand Dollars),892159
2019 Jan,Peru(Thousand Dollars),880
2019 Jan,Paraguay(Thousand Dollars),69
2019 Jan,Papua New Guinea(Thousand Dollars),1109
2019 Jan,Panama(Thousand Dollars),251
2019 Jan,Palau(Thousand Dollars),28
2019 Jan,Pakistan(Thousand Dollars),8905
2019 Jan,Other Countries In Oceania(Thousand Dollars),1927
2019 Jan,Other Countries In America(Thousand Dollars),21098
2019 Jan,Oman(Thousand Dollars),6685
2019 Jan,Oceania(Million Dollars),614.4
2019 Jan,Norway(Thousand Dollars),113890
2019 Jan,Norfolk Island(Thousand Dollars),0
2019 Jan,Niue(Thousand Dollars),0
2019 Jan,New Zealand(Thousand Dollars),77194
2019 Jan,New Caledonia(Thousand Dollars),19
2019 Jan,Netherlands(Thousand Dollars),356248
2019 Jan,Netherlands Antilles(Thousand Dollars),890
2019 Jan,Nepal(Thousand Dollars),234
2019 Jan,Nauru(Thousand Dollars),0
2019 Jan,Myanmar(Thousand Dollars),13456
2019 Jan,Micronesia(Thousand Dollars),0
2019 Jan,Mexico(Thousand Dollars),247444
2019 Jan,Malta(Thousand Dollars),85336
2019 Jan,"Maldives, Republic Of(Thousand Dollars)",124
2019 Jan,Malaysia(Thousand Dollars),4608872
2019 Jan,Mainland China(Thousand Dollars),6216589
2019 Jan,Macau(Thousand Dollars),6196
2019 Jan,Luxembourg(Thousand Dollars),13128
2019 Jan,Lithuania(Thousand Dollars),13750
2019 Jan,Liechtenstein(Thousand Dollars),2421
2019 Jan,Lebanon(Thousand Dollars),78
2019 Jan,Latvia(Thousand Dollars),2818
2019 Jan,Laos People's Democratic Republic(Thousand Dollars),1418
2019 Jan,Kuwait(Thousand Dollars),235104
2019 Jan,Kiribati(Thousand Dollars),1
2019 Jan,Jordan(Thousand Dollars),29965
