Country,Variables,Import
Slovak Republic (Slovakia)(Thousand Dollars),2019 May,3518
Slovenia(Thousand Dollars),2019 May,6413
Solomon Islands(Thousand Dollars),2019 May,5602
Spain(Thousand Dollars),2019 May,45039
Sri Lanka(Thousand Dollars),2019 May,198352
Sweden(Thousand Dollars),2019 May,25261
Switzerland(Thousand Dollars),2019 May,264393
Syrian Arab Republic(Thousand Dollars),2019 May,607
Taiwan(Thousand Dollars),2019 May,1550078
Thailand(Thousand Dollars),2019 May,1613416
Total Merchandise Exports(Thousand Dollars),2019 May,46631547
United Arab Emirates(Thousand Dollars),2019 May,404675
United Kingdom(Thousand Dollars),2019 May,517108
United States(Thousand Dollars),2019 May,4329087
Uruguay(Thousand Dollars),2019 May,1976
Venezuela(Thousand Dollars),2019 May,287
"Vietnam, Socialist Republic Of(Thousand Dollars)",2019 May,1583985
Yemen Democratic(Thousand Dollars),2019 May,0
Yemen(Thousand Dollars),2019 May,995
Afghanistan(Thousand Dollars),2019 Jun,1148
Africa(Million Dollars),2019 Jun,873.9
America(Million Dollars),2019 Jun,4990.1
Argentina(Thousand Dollars),2019 Jun,23371
Asia(Million Dollars),2019 Jun,29551.6
Australia(Thousand Dollars),2019 Jun,1298987
Austria(Thousand Dollars),2019 Jun,18590
Bahrain(Thousand Dollars),2019 Jun,10731
Bangladesh(Thousand Dollars),2019 Jun,385207
Belgium(Thousand Dollars),2019 Jun,318325
Brazil(Thousand Dollars),2019 Jun,138812
Brunei Darussalam(Thousand Dollars),2019 Jun,84494
Cambodia(Thousand Dollars),2019 Jun,108174
Canada(Thousand Dollars),2019 Jun,102551
Chile(Thousand Dollars),2019 Jun,7455
Colombia(Thousand Dollars),2019 Jun,9987
Cyprus(Thousand Dollars),2019 Jun,54969
Czech Republic(Thousand Dollars),2019 Jun,44095
Democratic People's Republic Of Korea(Thousand Dollars),2019 Jun,0
Denmark(Thousand Dollars),2019 Jun,19587
Ecuador(Thousand Dollars),2019 Jun,6252
Estonia(Thousand Dollars),2019 Jun,749
Europe(Million Dollars),2019 Jun,3890.6
European Union(Million Dollars),2019 Jun,3030.6
Fiji(Thousand Dollars),2019 Jun,34761
Finland(Thousand Dollars),2019 Jun,9940
France(Thousand Dollars),2019 Jun,360330
French Polynesia(Thousand Dollars),2019 Jun,1856
"Germany, Democratic Republic Of(Thousand Dollars)",2019 Jun,0
"Germany, Federal Republic Of(Thousand Dollars)",2019 Jun,596595
Greece(Thousand Dollars),2019 Jun,108931
Guam(Thousand Dollars),2019 Jun,54992
Hong Kong(Thousand Dollars),2019 Jun,4647638
Hungary(Thousand Dollars),2019 Jun,41321
India(Thousand Dollars),2019 Jun,1356264
Indonesia(Thousand Dollars),2019 Jun,2883205
Iran (Islamic Republic Of)(Thousand Dollars),2019 Jun,2089
Ireland(Thousand Dollars),2019 Jun,56440
Israel(Thousand Dollars),2019 Jun,57901
Italy(Thousand Dollars),2019 Jun,76213
Japan(Thousand Dollars),2019 Jun,1985399
Jordan(Thousand Dollars),2019 Jun,3397
Kuwait(Thousand Dollars),2019 Jun,17647
Laos People's Democratic Republic(Thousand Dollars),2019 Jun,5492
Latvia(Thousand Dollars),2019 Jun,7854
Lebanon(Thousand Dollars),2019 Jun,3959
Lithuania(Thousand Dollars),2019 Jun,1017
Luxembourg(Thousand Dollars),2019 Jun,13156
Macau(Thousand Dollars),2019 Jun,27566
Mainland China(Thousand Dollars),2019 Jun,5282330
Malaysia(Thousand Dollars),2019 Jun,4065377
"Maldives, Republic Of(Thousand Dollars)",2019 Jun,35599
Malta(Thousand Dollars),2019 Jun,163927
Mexico(Thousand Dollars),2019 Jun,177217
Myanmar(Thousand Dollars),2019 Jun,291690
Nepal(Thousand Dollars),2019 Jun,23210
Netherlands(Thousand Dollars),2019 Jun,934829
New Caledonia(Thousand Dollars),2019 Jun,42336
New Zealand(Thousand Dollars),2019 Jun,235459
Oceania(Million Dollars),2019 Jun,2117.9
Oman(Thousand Dollars),2019 Jun,12066
Other Countries In Oceania(Thousand Dollars),2019 Jun,381316
Pakistan(Thousand Dollars),2019 Jun,79149
Papua New Guinea(Thousand Dollars),2019 Jun,57684
Paraguay(Thousand Dollars),2019 Jun,286
Peru(Thousand Dollars),2019 Jun,5471
Philippines(Thousand Dollars),2019 Jun,908546
Poland(Thousand Dollars),2019 Jun,36507
Portugal(Thousand Dollars),2019 Jun,50526
