Date,Country,Export,Category
2019 Dec,Kuwait(Thousand Dollars),24475,Export
2019 Dec,Jordan(Thousand Dollars),4072,Export
2019 Dec,Japan(Thousand Dollars),2015881,Export
2019 Dec,Italy(Thousand Dollars),60013,Export
2019 Dec,Israel(Thousand Dollars),117934,Export
2019 Dec,Ireland(Thousand Dollars),51855,Export
2019 Dec,Iran (Islamic Republic Of)(Thousand Dollars),1802,Export
2019 Dec,Indonesia(Thousand Dollars),2926197,Export
2019 Dec,India(Thousand Dollars),1320721,Export
2019 Dec,Hungary(Thousand Dollars),33454,Export
2019 Dec,Hong Kong(Thousand Dollars),4989820,Export
2019 Dec,Guam(Thousand Dollars),43387,Export
2019 Dec,Greece(Thousand Dollars),52483,Export
2019 Dec,"Germany, Federal Republic Of(Thousand Dollars)",601244,Export
2019 Dec,"Germany, Democratic Republic Of(Thousand Dollars)",0,Export
2019 Dec,French Polynesia(Thousand Dollars),16249,Export
2019 Dec,France(Thousand Dollars),415758,Export
2019 Dec,Finland(Thousand Dollars),8844,Export
2019 Dec,Fiji(Thousand Dollars),55117,Export
2019 Dec,European Union(Million Dollars),3152.4,Export
2019 Dec,Europe(Million Dollars),3851,Export
2019 Dec,Estonia(Thousand Dollars),2382,Export
2019 Dec,Ecuador(Thousand Dollars),3451,Export
2019 Dec,Denmark(Thousand Dollars),13039,Export
2019 Dec,Democratic People's Republic Of Korea(Thousand Dollars),0,Export
2019 Dec,Czech Republic(Thousand Dollars),55282,Export
2019 Dec,Cyprus(Thousand Dollars),21506,Export
2019 Dec,Colombia(Thousand Dollars),11657,Export
2019 Dec,Chile(Thousand Dollars),44977,Export
2019 Dec,Canada(Thousand Dollars),198126,Export
2019 Dec,Cambodia(Thousand Dollars),434667,Export
2019 Dec,Brunei Darussalam(Thousand Dollars),119698,Export
2019 Dec,Brazil(Thousand Dollars),124575,Export
2019 Dec,Belgium(Thousand Dollars),498029,Export
2019 Dec,Bangladesh(Thousand Dollars),312983,Export
2019 Dec,Bahrain(Thousand Dollars),8636,Export
2019 Dec,Austria(Thousand Dollars),20887,Export
2019 Dec,Australia(Thousand Dollars),1256105,Export
2019 Dec,Asia(Million Dollars),34177,Export
2019 Dec,Argentina(Thousand Dollars),9361,Export
2019 Dec,America(Million Dollars),4613.7,Export
2019 Dec,Africa(Million Dollars),503.6,Export
2019 Dec,Afghanistan(Thousand Dollars),5070,Export
2019 Feb,Yemen(Thousand Dollars),800,Export
2019 Feb,Yemen Democratic(Thousand Dollars),0,Export
2019 Feb,"Vietnam, Socialist Republic Of(Thousand Dollars)",1391676,Export
2019 Feb,Venezuela(Thousand Dollars),207,Export
2019 Feb,Uruguay(Thousand Dollars),2485,Export
2019 Feb,United States(Thousand Dollars),3367504,Export
2019 Feb,United Kingdom(Thousand Dollars),285673,Export
2019 Feb,United Arab Emirates(Thousand Dollars),417516,Export
2019 Feb,Total Merchandise Exports(Thousand Dollars),39862596,Export
2019 Feb,Thailand(Thousand Dollars),1555895,Export
2019 Feb,Taiwan(Thousand Dollars),1604489,Export
2019 Feb,Syrian Arab Republic(Thousand Dollars),134,Export
2019 Feb,Switzerland(Thousand Dollars),214076,Export
2019 Feb,Sweden(Thousand Dollars),21700,Export
2019 Feb,Sri Lanka(Thousand Dollars),158616,Export
2019 Feb,Spain(Thousand Dollars),23879,Export
2019 Feb,Solomon Islands(Thousand Dollars),1586,Export
2019 Feb,Slovenia(Thousand Dollars),5901,Export
2019 Feb,Slovak Republic (Slovakia)(Thousand Dollars),2243,Export
2019 Feb,Saudi Arabia(Thousand Dollars),54723,Export
2019 Feb,Republic Of Korea(Thousand Dollars),1427754,Export
2019 Feb,Qatar(Thousand Dollars),120163,Export
2019 Feb,Puerto Rico(Thousand Dollars),71764,Export
2019 Feb,Portugal(Thousand Dollars),36920,Export
2019 Feb,Poland(Thousand Dollars),32274,Export
2019 Feb,Philippines(Thousand Dollars),701982,Export
2019 Feb,Peru(Thousand Dollars),6442,Export
2019 Feb,Paraguay(Thousand Dollars),398,Export
2019 Feb,Papua New Guinea(Thousand Dollars),54355,Export
2019 Feb,Pakistan(Thousand Dollars),113316,Export
2019 Feb,Other Countries In Oceania(Thousand Dollars),370900,Export
2019 Feb,Oman(Thousand Dollars),8922,Export
2019 Feb,Oceania(Million Dollars),1754,Export
2019 Feb,New Zealand(Thousand Dollars),263338,Export
2019 Feb,New Caledonia(Thousand Dollars),12519,Export
2019 Feb,Netherlands(Thousand Dollars),957909,Export
2019 Feb,Nepal(Thousand Dollars),9944,Export
2019 Feb,Myanmar(Thousand Dollars),271184,Export
2019 Feb,Mexico(Thousand Dollars),108947,Export
2019 Feb,Malta(Thousand Dollars),166880,Export
2019 Feb,"Maldives, Republic Of(Thousand Dollars)",20863,Export
2019 Feb,Malaysia(Thousand Dollars),3882516,Export
2019 Feb,Mainland China(Thousand Dollars),5869551,Export
2019 Feb,Macau(Thousand Dollars),19905,Export
2019 Feb,Luxembourg(Thousand Dollars),10008,Export
2019 Feb,Lithuania(Thousand Dollars),718,Export
2019 Feb,Lebanon(Thousand Dollars),2590,Export
2019 Feb,Latvia(Thousand Dollars),3191,Export
2019 Feb,Laos People's Democratic Republic(Thousand Dollars),5317,Export
2019 Feb,Kuwait(Thousand Dollars),12243,Export
2019 Feb,Jordan(Thousand Dollars),52353,Export
2019 Feb,Japan(Thousand Dollars),1714218,Export
2019 Feb,Italy(Thousand Dollars),83283,Export
2019 Feb,Israel(Thousand Dollars),57520,Export
2019 Feb,Ireland(Thousand Dollars),33801,Export
2019 Feb,Iran (Islamic Republic Of)(Thousand Dollars),2843,Export
2019 Feb,Indonesia(Thousand Dollars),2532561,Export
2019 Feb,India(Thousand Dollars),1090491,Export
2019 Feb,Hungary(Thousand Dollars),38839,Export
2019 Feb,Hong Kong(Thousand Dollars),4850908,Export
2019 Feb,Guam(Thousand Dollars),6198,Export
2019 Feb,Greece(Thousand Dollars),141543,Export
2019 Feb,"Germany, Federal Republic Of(Thousand Dollars)",678970,Export
2019 Feb,"Germany, Democratic Republic Of(Thousand Dollars)",0,Export
2019 Feb,French Polynesia(Thousand Dollars),5884,Export
2019 Feb,France(Thousand Dollars),404861,Export
2019 Feb,Finland(Thousand Dollars),12237,Export
2019 Feb,Fiji(Thousand Dollars),28143,Export
2019 Feb,European Union(Million Dollars),3342.7,Export
2019 Feb,Europe(Million Dollars),3994.3,Export
2019 Feb,Estonia(Thousand Dollars),2503,Export
2019 Feb,Ecuador(Thousand Dollars),8830,Export
2019 Feb,Denmark(Thousand Dollars),15066,Export
2019 Feb,Democratic People's Republic Of Korea(Thousand Dollars),0,Export
2019 Feb,Czech Republic(Thousand Dollars),49218,Export
